date,volume,price
09:00:30,100000,6260.0
09:00:30,50213,6260.0
09:00:30,28030,6260.0
09:00:30,14050,6260.0
09:00:30,7958,6260.0
09:00:30,5000,6260.0
09:00:30,3231,6260.0
09:00:30,1750,6260.0
09:00:30,1535,6260.0
09:00:30,950,6260.0
09:00:30,769,6260.0
09:00:30,440,6260.0
09:00:30,292,6260.0
09:00:30,131,6260.0
09:00:30,68,6260.0
09:00:30,59,6260.0
09:00:51,5000,6260.0
09:00:52,33465,6260.0
09:00:52,50000,6260.0
09:00:52,1000,6260.0
09:00:52,110,6260.0
09:00:52,759,6260.0
09:00:52,3223,6260.0
09:00:52,2185,6260.0
09:00:52,10000,6260.0
09:00:52,35500,6260.0
09:00:52,404,6260.0
09:00:52,63354,6260.0
09:00:55,3690,6240.0
09:00:55,2310,6240.0
09:00:56,5439,6240.0
09:00:56,7675,6240.0
09:00:56,7711,6240.0
09:00:56,7175,6240.0
09:00:59,36647,6260.0
09:00:59,50000,6260.0
09:00:59,3200,6260.0
09:00:59,126,6260.0
09:00:59,11568,6260.0
09:01:06,806,6260.0
09:01:06,694,6260.0
09:01:25,377,6240.0
09:01:25,7546,6240.0
09:01:25,8537,6240.0
09:01:25,7865,6240.0
09:01:25,675,6240.0
09:01:35,3639,6240.0
09:02:00,1504,6240.0
09:02:05,813,6260.0
09:02:17,2219,6240.0
09:02:17,6528,6240.0
09:02:17,1444,6240.0
09:02:17,1346,6240.0
09:02:25,1000,6250.0
09:02:31,6431,6240.0
09:02:31,957,6240.0
09:02:31,4783,6240.0
09:02:32,5217,6240.0
09:02:32,15000,6240.0
09:02:32,49336,6240.0
09:02:32,808,6250.0
09:02:33,5300,6250.0
09:02:42,6305,6250.0
09:02:44,2587,6250.0
09:02:44,664,6240.0
09:02:44,1749,6240.0
09:02:53,10089,6240.0
09:02:53,4930,6240.0
09:02:57,1000,6240.0
09:03:22,50756,6240.0
09:04:04,1000,6240.0
09:04:15,42314,6240.0
09:04:15,5000,6240.0
09:04:15,9176,6240.0
09:04:15,9137,6240.0
09:04:15,9060,6240.0
09:04:15,8927,6240.0
09:04:15,3183,6240.0
09:04:15,1000,6240.0
09:04:37,5000,6230.0
09:04:46,10000,6230.0
09:04:49,1029,6230.0
09:04:50,4179,6230.0
09:04:50,5821,6230.0
09:04:51,4950,6230.0
09:04:51,10000,6230.0
09:04:55,5000,6230.0
09:04:58,5203,6240.0
09:04:58,11751,6240.0
09:04:58,1000,6240.0
09:04:58,13846,6240.0
09:05:13,8000,6230.0
09:05:16,1300,6240.0
09:05:23,3478,6240.0
09:05:32,4900,6230.0
09:05:32,9000,6230.0
09:05:41,2970,6230.0
09:05:52,10120,6230.0
09:06:00,1601,6240.0
09:06:00,1601,6240.0
09:06:02,633,6230.0
09:06:03,2000,6230.0
09:06:16,1000,6230.0
09:06:18,25606,6230.0
09:06:18,1000,6230.0
09:06:18,11526,6230.0
09:06:18,9387,6230.0
09:06:18,9572,6230.0
09:06:18,11488,6230.0
09:06:18,15000,6230.0
09:06:18,50000,6230.0
09:06:18,1270,6230.0
09:06:18,10000,6230.0
09:06:18,6700,6230.0
09:06:35,808,6230.0
09:06:36,1000,6220.0
09:06:36,3805,6220.0
09:06:36,5000,6220.0
09:06:36,12915,6220.0
09:06:39,2000,6220.0
09:06:40,1000,6220.0
09:06:41,2000,6220.0
09:06:42,8000,6220.0
09:06:44,683,6220.0
09:06:56,4444,6220.0
09:06:56,288,6220.0
09:07:00,18670,6220.0
09:07:00,15000,6220.0
09:07:00,2000,6220.0
09:07:00,5000,6220.0
09:07:00,19355,6220.0
09:07:00,13135,6220.0
09:07:00,5524,6220.0
09:07:00,7643,6230.0
09:07:00,5000,6230.0
09:07:00,589,6230.0
09:07:00,12450,6230.0
09:07:04,10000,6230.0
09:07:12,2000,6230.0
09:07:13,4900,6230.0
09:07:20,900,6230.0
09:07:24,11000,6230.0
09:07:25,1440,6230.0
09:07:30,4537,6230.0
09:07:53,10000,6230.0
09:07:53,53365,6240.0
09:07:53,1463,6240.0
09:07:53,9037,6240.0
09:07:53,47898,6240.0
09:08:01,3802,6230.0
09:08:23,13000,6230.0
09:08:28,2000,6230.0
09:08:35,5017,6230.0
09:08:35,1521,6230.0
09:08:42,4201,6230.0
09:08:42,1000,6230.0
09:08:42,1000,6230.0
09:08:42,3500,6230.0
09:08:42,1500,6230.0
09:09:00,3776,6220.0
09:09:03,880,6220.0
09:09:04,15671,6230.0
09:09:04,195,6230.0
09:09:04,48300,6230.0
09:09:04,15794,6230.0
09:09:05,1792,6220.0
09:09:05,6236,6220.0
09:09:09,1000,6230.0
09:09:10,7675,6220.0
09:09:10,12325,6220.0
09:09:14,2069,6220.0
09:09:14,14133,6220.0
09:09:14,17161,6220.0
09:09:14,16845,6220.0
09:09:14,80088,6220.0
09:09:14,3000,6220.0
09:09:15,810,6220.0
09:09:16,865,6220.0
09:09:27,808,6210.0
09:09:27,6000,6210.0
09:09:27,3192,6210.0
09:09:37,60000,6220.0
09:09:44,1808,6210.0
09:09:44,8192,6210.0
09:09:45,3000,6210.0
09:09:47,1600,6210.0
09:09:47,1000,6210.0
09:09:48,1514,6210.0
09:09:57,5029,6220.0
09:09:57,1013,6220.0
09:09:58,3478,6210.0
09:10:02,4400,6220.0
09:10:05,74587,6220.0
09:10:05,8500,6220.0
09:10:05,13946,6220.0
09:10:05,2967,6220.0
09:10:12,7033,6220.0
09:10:12,10000,6220.0
09:10:12,962,6220.0
09:10:14,1000,6220.0
09:10:19,7000,6220.0
09:10:28,5000,6220.0
09:10:28,1000,6230.0
09:10:34,3000,6220.0
09:10:36,42645,6220.0
09:10:36,2282,6230.0
