date,str_date,Open,Symbol,Name,Close,Last Trade,Quantity,Volume,Value,Min,Max,Yesterday Price,Change
2020-04-18,2020-04-18,26344.0,زكوثر,سرمايه گذاري كشاورزي كوثر,26344.0,26344.0,36806,19246995,507042836280.0,26344.0,26344.0,25090.0,1254.0
2020-04-18,2020-04-18,7584.0,وبوعلي,سرمايه‌گذاري‌بوعلي‌,7584.0,7584.0,1726,19052844,144496768896.0,7584.0,7584.0,7223.0,361.0
2020-04-18,2020-04-18,27500.0,كروي,توسعه‌ معادن‌ روي‌ ايران‌,27500.0,27500.0,1287,7869975,216424312036.0,27499.0,27500.0,26191.0,1309.0
2020-04-18,2020-04-18,6891.0,وغدير,سرمايه‌گذاري‌غدير(هلدينگ‌,6891.0,6891.0,5546,63176095,435334405212.0,6872.0,6891.0,6563.0,328.0
2020-04-18,2020-04-18,17501.0,شاراك,پتروشيمي شازند,17501.0,17501.0,712,6178295,108126340795.0,17501.0,17501.0,16668.0,833.0
2020-04-18,2020-04-18,8593.0,وخارزم,سرمايه گذاري خوارزمي,8593.0,8593.0,4425,28905574,248385597382.0,8593.0,8593.0,8184.0,409.0
2020-04-18,2020-04-18,34267.0,كبافق,معادن‌ بافق‌,34267.0,34267.0,1764,2609666,89425424822.0,34267.0,34267.0,32636.0,1631.0
2020-04-18,2020-04-18,30024.0,فاسمين,كالسيمين‌,30024.0,30024.0,625,2086369,62641142856.0,30024.0,30024.0,28595.0,1429.0
2020-04-18,2020-04-18,5946.0,فولاد,فولاد مباركه اصفهان,5946.0,5946.0,5056,65565430,389829594273.0,5910.0,5946.0,5663.0,283.0
2020-04-18,2020-04-18,66152.0,دفارا,داروسازي‌ فارابي‌,66150.0,66152.0,1014,794039,52525847625.0,65000.0,66152.0,63002.0,3148.0
2020-04-18,2020-04-18,20406.0,دزهراوي,داروسازي‌زهراوي‌,20406.0,20406.0,1806,3417908,69745830648.0,20406.0,20406.0,19435.0,971.0
2020-04-18,2020-04-18,18874.0,هاي وب,داده گسترعصرنوين-هاي وب,18874.0,18874.0,796,3144867,59356219758.0,18874.0,18874.0,17976.0,898.0
2020-04-18,2020-04-18,22132.0,حتوكا,حمل‌ونقل‌توكا,22132.0,22132.0,2602,4360185,96499167310.0,22120.0,22132.0,21079.0,1053.0
